## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT mapped/X1a.bam --OUTPUT dedupe/X1a.bam --METRICS_FILE dedupe/X1a.metrics.txt --REMOVE_DUPLICATES true --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Oct 11 17:29:18 PDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	932	58644111	79858816	5931952	840	24810563	557459	0.423074	48427703

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
930.0	0	0	0	2
932.0	0	0	0	1
934.0	0	1	0	0
935.0	0	0	0	2
936.0	0	1	0	0
937.0	0	1	0	1
938.0	0	0	0	1
939.0	0	0	0	1
941.0	0	0	0	1
942.0	0	1	0	0
943.0	0	1	0	1
945.0	0	1	0	0
948.0	0	1	0	0
950.0	0	1	0	0
952.0	0	3	0	0
957.0	0	0	0	1
959.0	0	0	0	1
962.0	0	0	0	1
965.0	0	1	0	0
967.0	0	1	0	0
970.0	0	0	0	1
972.0	0	1	0	1
976.0	0	0	0	1
977.0	0	0	0	1
978.0	0	0	0	3
979.0	0	2	0	0
981.0	0	0	0	1
982.0	0	0	0	1
983.0	0	0	0	1
984.0	0	1	0	0
986.0	0	1	0	0
987.0	0	1	0	0
988.0	0	2	0	1
991.0	0	1	0	0
992.0	0	1	0	2
993.0	0	0	0	1
994.0	0	0	0	2
995.0	0	2	0	1
996.0	0	0	0	1
997.0	0	0	0	1
999.0	0	1	0	0
1002.0	0	1	0	0
1003.0	0	1	0	2
1004.0	0	1	0	1
1005.0	0	1	0	0
1006.0	0	1	0	0
1008.0	0	0	0	1
1009.0	0	2	0	0
1010.0	0	1	0	0
1011.0	0	0	0	2
1012.0	0	2	0	1
1013.0	0	0	0	1
1016.0	0	1	0	0
1019.0	0	1	0	1
1020.0	0	1	0	2
1021.0	0	0	0	1
1022.0	0	1	0	2
1023.0	0	0	0	1
1024.0	0	0	0	1
1025.0	0	1	0	1
1027.0	0	1	0	1
1029.0	0	5	0	0
1030.0	0	0	0	1
1031.0	0	0	0	1
1032.0	0	0	0	3
1034.0	0	1	0	0
1035.0	0	2	0	0
1038.0	0	1	0	0
1039.0	0	3	0	2
1041.0	0	1	0	0
1044.0	0	1	0	0
1045.0	0	0	0	2
1046.0	0	1	0	1
1047.0	0	0	0	1
1048.0	0	0	0	2
1049.0	0	1	0	0
1051.0	0	0	0	1
1052.0	0	1	0	1
1053.0	0	1	0	0
1054.0	0	1	0	3
1057.0	0	1	0	0
1058.0	0	0	0	1
1059.0	0	1	0	2
1060.0	0	1	0	2
1061.0	0	1	0	1
1062.0	0	1	0	1
1063.0	0	2	0	0
1065.0	0	1	0	1
1066.0	0	1	0	1
1069.0	0	2	0	0
1070.0	0	1	0	1
1071.0	0	1	0	0
1072.0	0	0	0	1
1073.0	0	0	0	1
1074.0	0	1	0	0
1075.0	0	1	0	0
1076.0	0	1	0	3
1078.0	0	2	0	1
1080.0	0	1	0	0
1082.0	0	1	0	1
1084.0	0	1	0	0
1085.0	0	1	0	0
1086.0	0	0	0	1
1088.0	0	0	0	1
1089.0	0	3	0	0
1092.0	0	0	0	1
1094.0	0	1	0	0
1095.0	0	1	0	1
1096.0	0	0	0	1
1098.0	0	0	0	1
1100.0	0	0	0	1
1101.0	0	0	0	1
1102.0	0	0	0	1
1103.0	0	0	0	1
1105.0	0	2	0	0
1108.0	0	1	0	0
1109.0	0	2	0	1
1110.0	0	1	0	1
1112.0	0	1	0	1
1114.0	0	1	0	0
1116.0	0	1	0	0
1119.0	0	1	0	0
1121.0	0	1	0	1
1123.0	0	0	0	1
1130.0	0	0	0	1
1134.0	0	1	0	0
1135.0	0	0	0	1
1136.0	0	2	0	0
1138.0	0	0	0	1
1139.0	0	0	0	1
1140.0	0	0	0	1
1143.0	0	0	0	1
1146.0	0	1	0	0
1147.0	0	1	0	0
1149.0	0	1	0	1
1150.0	0	1	0	1
1152.0	0	0	0	2
1154.0	0	0	0	1
1157.0	0	1	0	1
1158.0	0	1	0	0
1159.0	0	1	0	0
1160.0	0	1	0	0
1161.0	0	1	0	1
1162.0	0	0	0	1
1165.0	0	1	0	0
1166.0	0	1	0	0
1167.0	0	0	0	1
1168.0	0	1	0	1
1169.0	0	0	0	1
1175.0	0	1	0	0
1176.0	0	1	0	0
1177.0	0	0	0	1
1178.0	0	1	0	0
1181.0	0	0	0	2
1183.0	0	0	0	3
1184.0	0	1	0	0
1185.0	0	1	0	0
1188.0	0	1	0	0
1190.0	0	2	0	1
1193.0	0	1	0	0
1195.0	0	0	0	1
1198.0	0	1	0	0
1201.0	0	0	0	1
1202.0	0	1	0	2
1207.0	0	1	0	0
1210.0	0	0	0	2
1214.0	0	1	0	0
1216.0	0	1	0	0
1218.0	0	1	0	0
1219.0	0	2	0	0
1220.0	0	0	0	1
1222.0	0	0	0	1
1223.0	0	0	0	1
1227.0	0	0	0	1
1228.0	0	0	0	1
1231.0	0	0	0	1
1233.0	0	1	0	1
1235.0	0	1	0	0
1238.0	0	2	0	0
1239.0	0	1	0	0
1243.0	0	0	0	1
1245.0	0	1	0	1
1246.0	0	0	0	1
1247.0	0	1	0	0
1250.0	0	0	0	1
1251.0	0	0	0	1
1252.0	0	1	0	1
1253.0	0	1	0	0
1256.0	0	1	0	2
1257.0	0	1	0	0
1258.0	0	0	0	2
1261.0	0	2	0	2
1262.0	0	0	0	1
1263.0	0	0	0	1
1265.0	0	1	0	0
1267.0	0	1	0	0
1268.0	0	0	0	1
1269.0	0	2	0	1
1270.0	0	0	0	1
1272.0	0	1	0	0
1273.0	0	2	0	0
1275.0	0	1	0	0
1277.0	0	2	0	0
1279.0	0	0	0	1
1280.0	0	1	0	0
1282.0	0	0	0	1
1283.0	0	0	0	1
1286.0	0	0	0	1
1291.0	0	1	0	0
1293.0	0	2	0	1
1305.0	0	1	0	1
1306.0	0	1	0	0
1312.0	0	1	0	0
1315.0	0	0	0	1
1316.0	0	0	0	1
1321.0	0	0	0	1
1322.0	0	0	0	1
1323.0	0	0	0	1
1325.0	0	1	0	0
1327.0	0	1	0	0
1330.0	0	0	0	1
1333.0	0	1	0	0
1334.0	0	0	0	1
1338.0	0	1	0	0
1339.0	0	1	0	1
1343.0	0	2	0	0
1346.0	0	0	0	1
1347.0	0	0	0	1
1352.0	0	1	0	1
1357.0	0	1	0	0
1364.0	0	1	0	1
1367.0	0	1	0	0
1368.0	0	0	0	1
1370.0	0	0	0	1
1372.0	0	0	0	1
1377.0	0	0	0	1
1378.0	0	0	0	1
1379.0	0	2	0	0
1382.0	0	0	0	1
1383.0	0	0	0	1
1384.0	0	1	0	0
1386.0	0	1	0	0
1387.0	0	0	0	1
1388.0	0	1	0	0
1393.0	0	2	0	0
1397.0	0	0	0	1
1399.0	0	1	0	0
1402.0	0	0	0	1
1405.0	0	0	0	1
1407.0	0	1	0	0
1413.0	0	1	0	0
1414.0	0	1	0	0
1419.0	0	0	0	2
1420.0	0	0	0	1
1422.0	0	1	0	0
1429.0	0	0	0	1
1430.0	0	1	0	0
1433.0	0	1	0	0
1435.0	0	0	0	1
1436.0	0	1	0	1
1437.0	0	0	0	1
1443.0	0	1	0	0
1449.0	0	1	0	0
1451.0	0	1	0	0
1453.0	0	0	0	1
1454.0	0	1	0	0
1456.0	0	0	0	1
1460.0	0	1	0	0
1464.0	0	0	0	1
1468.0	0	1	0	0
1474.0	0	0	0	1
1479.0	0	0	0	2
1480.0	0	0	0	1
1484.0	0	1	0	0
1486.0	0	0	0	1
1487.0	0	1	0	0
1489.0	0	1	0	0
1492.0	0	1	0	0
1494.0	0	1	0	0
1500.0	0	1	0	0
1501.0	0	0	0	1
1502.0	0	0	0	1
1507.0	0	0	0	1
1508.0	0	0	0	1
1509.0	0	0	0	2
1513.0	0	1	0	0
1515.0	0	1	0	0
1518.0	0	1	0	0
1521.0	0	1	0	2
1523.0	0	1	0	0
1525.0	0	1	0	0
1529.0	0	0	0	1
1532.0	0	1	0	0
1540.0	0	1	0	0
1541.0	0	0	0	1
1544.0	0	1	0	0
1549.0	0	0	0	1
1551.0	0	0	0	1
1552.0	0	0	0	1
1558.0	0	1	0	0
1567.0	0	2	0	0
1572.0	0	1	0	1
1574.0	0	0	0	1
1583.0	0	0	0	1
1588.0	0	0	0	1
1591.0	0	2	0	0
1598.0	0	1	0	0
1604.0	0	1	0	0
1605.0	0	0	0	1
1620.0	0	0	0	1
1623.0	0	1	0	1
1625.0	0	0	0	1
1630.0	0	0	0	1
1631.0	0	0	0	1
1632.0	0	0	0	1
1635.0	0	2	0	0
1636.0	0	2	0	0
1646.0	0	2	0	0
1649.0	0	0	0	2
1659.0	0	0	0	1
1664.0	0	1	0	0
1669.0	0	1	0	0
1672.0	0	1	0	0
1675.0	0	0	0	1
1681.0	0	0	0	2
1689.0	0	1	0	0
1694.0	0	1	0	0
1695.0	0	0	0	1
1698.0	0	0	0	1
1703.0	0	1	0	0
1706.0	0	0	0	2
1707.0	0	1	0	0
1709.0	0	0	0	1
1717.0	0	1	0	0
1722.0	0	1	0	0
1724.0	0	1	0	0
1726.0	0	0	0	1
1727.0	0	0	0	1
1732.0	0	0	0	1
1733.0	0	1	0	0
1737.0	0	1	0	0
1741.0	0	0	0	1
1743.0	0	1	0	0
1744.0	0	1	0	0
1745.0	0	0	0	1
1755.0	0	1	0	0
1760.0	0	0	0	1
1763.0	0	0	0	1
1764.0	0	1	0	0
1772.0	0	1	0	0
1781.0	0	1	0	0
1798.0	0	0	0	1
1799.0	0	0	0	1
1800.0	0	0	0	1
1812.0	0	2	0	0
1817.0	0	1	0	0
1832.0	0	0	0	1
1851.0	0	0	0	1
1852.0	0	1	0	0
1868.0	0	1	0	0
1895.0	0	0	0	1
1911.0	0	0	0	1
1915.0	0	1	0	0
1921.0	0	0	0	1
1928.0	0	0	0	1
1935.0	0	1	0	0
1937.0	0	1	0	0
1948.0	0	1	0	0
1952.0	0	0	0	1
1968.0	0	1	0	0
1985.0	0	0	0	1
1994.0	0	0	0	1
2005.0	0	1	0	0
2009.0	0	1	0	0
2043.0	0	0	0	1
2055.0	0	0	0	1
2056.0	0	1	0	0
2066.0	0	0	0	1
2074.0	0	1	0	0
2084.0	0	1	0	0
2116.0	0	0	0	1
2136.0	0	1	0	0
2165.0	0	0	0	1
2169.0	0	0	0	1
2189.0	0	0	0	1
2191.0	0	1	0	0
2194.0	0	1	0	0
2209.0	0	0	0	1
2213.0	0	1	0	0
2218.0	0	0	0	1
2237.0	0	1	0	0
2238.0	0	1	0	0
2256.0	0	0	0	1
2271.0	0	0	0	1
2275.0	0	0	0	1
2276.0	0	0	0	1
2278.0	0	1	0	0
2282.0	0	0	0	1
2289.0	0	1	0	0
2292.0	0	1	0	0
2294.0	0	1	0	0
2298.0	0	0	0	1
2301.0	0	1	0	0
2314.0	0	1	0	0
2391.0	0	0	0	1
2402.0	0	0	0	1
2404.0	0	0	0	1
2409.0	0	1	0	0
2421.0	0	2	0	0
2502.0	0	0	0	1
2524.0	0	1	0	0
2559.0	0	0	0	1
2575.0	0	1	0	0
2605.0	0	0	0	2
2613.0	0	0	0	1
2620.0	0	1	0	0
2633.0	0	1	0	0
2637.0	0	1	0	0
2707.0	0	0	0	1
2725.0	0	1	0	0
2757.0	0	0	0	1
2783.0	0	1	0	0
2785.0	0	0	0	1
2815.0	0	1	0	0
2892.0	0	0	0	1
2917.0	0	1	0	0
2973.0	0	0	0	1
2989.0	0	0	0	1
2995.0	0	0	0	1
3005.0	0	1	0	0
3011.0	0	0	0	1
3012.0	0	1	0	0
3027.0	0	1	0	0
3038.0	0	1	0	0
3150.0	0	0	0	1
3155.0	0	0	0	1
3175.0	0	1	0	0
3181.0	0	0	0	1
3193.0	0	1	0	0
3206.0	0	1	0	0
3215.0	0	0	0	1
3245.0	0	1	0	0
3261.0	0	0	0	1
3264.0	0	0	0	1
3282.0	0	1	0	0
3291.0	0	1	0	0
3299.0	0	0	0	1
3332.0	0	1	0	1
3370.0	0	1	0	0
3432.0	0	0	0	1
3475.0	0	1	0	0
3595.0	0	0	0	1
3634.0	0	1	0	0
3639.0	0	0	0	1
3668.0	0	1	0	0
3706.0	0	0	0	1
3707.0	0	0	0	1
3740.0	0	1	0	0
3741.0	0	1	0	0
3754.0	0	0	0	1
3756.0	0	0	0	1
3757.0	0	0	0	1
3789.0	0	1	0	0
3790.0	0	1	0	0
3800.0	0	1	0	0
3811.0	0	0	0	1
3813.0	0	0	0	1
3843.0	0	1	0	0
3844.0	0	1	0	0
3963.0	0	0	0	1
3993.0	0	0	0	1
4005.0	0	1	0	0
4022.0	0	1	0	0
4063.0	0	0	0	1
4099.0	0	1	0	0
4483.0	0	0	0	1
4532.0	0	1	0	0
4592.0	0	0	0	1
4636.0	0	1	0	0
5273.0	0	0	0	1
5317.0	0	1	0	0
5346.0	0	0	0	1
5395.0	0	1	0	0
5509.0	0	0	0	1
5561.0	0	1	0	0
5787.0	0	0	0	1
5842.0	0	1	0	0
6380.0	0	0	0	1
6383.0	0	0	0	1
6430.0	0	1	0	0
6457.0	0	1	0	0
6870.0	0	0	0	1
6925.0	0	1	0	0
7496.0	0	0	0	1
7553.0	0	1	0	0
8080.0	0	0	0	1
8147.0	0	1	0	0
8833.0	0	0	0	1
8914.0	0	1	0	0
9196.0	0	0	0	1
9266.0	0	1	0	0
10511.0	0	0	0	1
10613.0	0	1	0	0
13177.0	0	0	0	1
13210.0	0	0	0	1
13306.0	0	1	0	0
13344.0	0	1	0	0
22409.0	0	0	0	1
22605.0	0	1	0	0
24505.0	0	0	0	1
24745.0	0	1	0	0
41211.0	0	0	0	1
41609.0	0	1	0	0

