## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT mapped/X1a.bam --OUTPUT dedupe/X1a.bam --METRICS_FILE dedupe/X1a.metrics.txt --REMOVE_DUPLICATES true --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Oct 11 17:29:18 PDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	932	58644111	79858816	5931952	840	24810563	557459	0.423074	48427703

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
149.0	0	133	0	103
150.0	0	114	0	125
151.0	0	111	0	127
152.0	0	117	0	127
153.0	0	126	0	123
154.0	0	135	0	112
155.0	0	125	0	112
156.0	0	121	0	108
157.0	0	103	0	106
158.0	0	104	0	107
159.0	0	90	0	85
160.0	0	114	0	123
161.0	0	102	0	97
162.0	0	100	0	92
163.0	0	91	0	93
164.0	0	83	0	104
165.0	0	95	0	93
166.0	0	106	0	100
167.0	0	92	0	89
168.0	0	112	0	89
169.0	0	74	0	103
170.0	0	98	0	72
171.0	0	90	0	95
172.0	0	89	0	68
173.0	0	77	0	99
174.0	0	91	0	80
175.0	0	79	0	71
176.0	0	76	0	65
177.0	0	81	0	84
178.0	0	71	0	81
179.0	0	67	0	73
180.0	0	81	0	73
181.0	0	82	0	75
182.0	0	64	0	66
183.0	0	74	0	80
184.0	0	66	0	73
185.0	0	83	0	81
186.0	0	82	0	76
187.0	0	72	0	63
188.0	0	65	0	67
189.0	0	70	0	62
190.0	0	68	0	68
191.0	0	69	0	59
192.0	0	59	0	51
193.0	0	56	0	53
194.0	0	50	0	62
195.0	0	55	0	57
196.0	0	60	0	59
197.0	0	54	1	80
198.0	0	72	0	58
199.0	0	67	0	62
200.0	0	70	0	57
201.0	0	53	0	53
202.0	0	49	0	53
203.0	0	56	0	45
204.0	0	52	0	55
205.0	0	49	0	54
206.0	0	49	0	57
207.0	0	48	0	59
208.0	0	57	0	51
209.0	0	62	0	53
210.0	0	52	0	69
211.0	0	63	0	39
212.0	0	58	0	43
213.0	0	30	0	54
214.0	0	47	0	47
215.0	0	50	0	49
216.0	0	62	0	49
217.0	0	35	0	44
218.0	0	37	0	42
219.0	0	50	0	51
220.0	0	53	0	45
221.0	0	50	0	39
222.0	0	38	0	39
223.0	0	38	0	50
224.0	0	39	0	38
225.0	0	45	0	36
226.0	0	37	0	38
227.0	0	39	0	36
228.0	0	44	0	37
229.0	0	33	0	49
230.0	0	39	0	47
231.0	0	37	0	39
232.0	0	51	0	38
233.0	0	42	0	41
234.0	0	39	0	37
235.0	0	43	0	38
236.0	0	29	0	23
237.0	0	33	0	43
238.0	0	36	0	34
239.0	0	40	0	37
240.0	0	32	0	38
241.0	0	38	1	37
242.0	0	36	0	34
243.0	0	34	0	42
244.0	0	28	0	22
245.0	0	34	0	36
246.0	0	44	0	39
247.0	0	30	0	43
248.0	0	34	0	36
249.0	0	47	0	39
250.0	0	43	0	35
251.0	0	30	0	28
252.0	0	41	0	31
253.0	0	36	0	32
254.0	0	24	0	26
255.0	0	29	0	35
256.0	0	30	0	34
257.0	0	37	0	27
258.0	0	24	0	26
259.0	0	30	0	27
260.0	0	38	0	33
261.0	0	23	0	35
262.0	0	30	0	24
263.0	0	33	0	28
264.0	0	31	0	23
265.0	0	17	0	31
266.0	0	29	0	29
267.0	0	24	0	19
268.0	0	25	0	26
269.0	0	21	0	34
270.0	0	28	0	25
271.0	0	26	0	14
272.0	0	30	0	24
273.0	0	18	0	27
274.0	0	29	0	26
275.0	0	24	0	22
276.0	0	22	0	30
277.0	0	28	0	18
278.0	0	26	0	26
279.0	0	23	0	22
280.0	0	16	0	34
281.0	0	26	0	22
282.0	0	24	0	19
283.0	0	13	0	22
284.0	0	35	0	17
285.0	0	18	0	26
286.0	0	25	0	22
287.0	0	24	0	21
288.0	0	18	0	26
289.0	0	22	0	16
290.0	0	32	0	21
291.0	0	21	0	22
292.0	0	16	0	16
293.0	0	24	0	16
294.0	0	13	0	20
295.0	0	18	0	20
296.0	0	23	0	22
297.0	0	12	0	21
298.0	0	20	0	17
299.0	0	17	0	16
300.0	0	19	0	17
301.0	0	19	0	21
302.0	0	24	0	15
303.0	0	21	0	22
304.0	0	15	0	14
305.0	0	16	0	17
306.0	0	21	0	16
307.0	0	18	0	16
308.0	0	15	0	14
309.0	0	17	0	23
310.0	0	12	0	16
311.0	0	21	0	17
312.0	0	19	0	16
313.0	0	16	0	16
314.0	0	14	0	12
315.0	0	14	0	18
316.0	0	13	0	17
317.0	0	18	0	7
318.0	0	14	0	16
319.0	0	10	0	9
320.0	0	10	0	19
321.0	0	19	0	17
322.0	0	16	0	17
323.0	0	16	0	20
324.0	0	17	0	13
325.0	0	15	0	18
326.0	0	18	0	11
327.0	0	14	0	13
328.0	0	15	0	16
329.0	0	14	0	17
330.0	0	11	0	17
331.0	0	22	0	13
332.0	0	14	0	14
333.0	0	16	0	19
334.0	0	16	0	7
335.0	0	8	0	18
336.0	0	13	0	10
337.0	0	15	0	12
338.0	0	6	0	9
339.0	0	14	0	13
340.0	0	13	0	14
341.0	0	13	0	8
342.0	0	10	0	14
343.0	0	13	0	10
344.0	0	22	0	17
345.0	0	11	0	8
346.0	0	13	0	8
347.0	0	10	0	9
348.0	0	8	0	17
349.0	0	12	0	12
350.0	0	6	0	10
351.0	0	6	0	15
352.0	0	17	0	16
353.0	0	20	0	16
354.0	0	16	0	10
355.0	0	13	0	14
356.0	0	7	0	10
357.0	0	8	0	14
358.0	0	12	0	17
359.0	0	16	0	12
360.0	0	17	0	14
361.0	0	10	0	11
362.0	0	16	0	11
363.0	0	10	0	11
364.0	0	8	0	5
365.0	0	11	0	9
366.0	0	12	0	5
367.0	0	10	0	15
368.0	0	10	0	15
369.0	0	16	0	15
370.0	0	10	0	8
371.0	0	8	0	14
372.0	0	14	0	14
373.0	0	12	0	8
374.0	0	15	0	12
375.0	0	7	0	12
376.0	0	9	0	10
377.0	0	13	0	11
378.0	0	14	0	14
379.0	0	10	0	9
380.0	0	12	0	10
381.0	0	9	0	9
382.0	0	6	0	6
383.0	0	13	0	9
384.0	0	15	0	7
385.0	0	7	0	15
386.0	0	6	0	10
387.0	0	10	0	11
388.0	0	10	0	10
389.0	0	14	0	13
390.0	0	8	0	9
391.0	0	16	0	8
392.0	0	11	0	10
393.0	0	6	0	12
394.0	0	9	0	8
395.0	0	8	0	7
396.0	0	10	0	5
397.0	0	7	0	6
398.0	0	7	0	4
399.0	0	9	1	4
400.0	0	7	0	4
401.0	0	8	0	9
402.0	0	4	0	12
403.0	0	8	0	7
404.0	0	6	0	16
405.0	0	4	0	8
406.0	0	9	0	8
407.0	0	10	0	2
408.0	0	7	0	12
409.0	0	9	0	8
410.0	0	7	0	14
411.0	0	10	0	8
412.0	0	10	0	9
413.0	0	10	0	2
414.0	0	11	0	8
415.0	0	11	0	5
416.0	0	6	0	8
417.0	0	5	0	8
418.0	0	5	0	6
419.0	0	5	0	6
420.0	0	10	0	11
421.0	0	6	0	6
422.0	0	5	0	6
423.0	0	8	0	6
424.0	0	4	0	4
425.0	0	3	0	8
426.0	0	8	0	11
427.0	0	10	0	5
428.0	0	9	0	2
429.0	0	12	0	6
430.0	0	4	0	4
431.0	0	3	0	4
432.0	0	5	0	6
433.0	0	2	0	8
434.0	0	7	0	7
435.0	0	4	0	4
436.0	0	6	0	6
437.0	0	8	0	4
438.0	0	9	0	7
439.0	0	3	0	10
440.0	0	7	0	8
441.0	0	10	0	7
442.0	0	4	0	8
443.0	0	7	0	7
444.0	0	8	0	5
445.0	0	5	0	9
446.0	0	3	0	7
